customer_id,number_of_site_visits,number_of_emails_opened,number_of_clicks
1660,3,8,2
1661,237,61,27
1662,29,12,15
1663,6,45,16
1664,2,1,1
1665,5,4,1
1666,19,2,3
1667,47,1,10
1668,22,4,3
1669,74,34,4
1670,412,37,34
1671,193,78,12
1672,47,39,20
1673,1,1,1
1674,485,178,80
1675,40,2,9
1676,1,7,2
1677,136,59,25
1678,214,53,26
1679,5,12,6
1680,12,23,12
1681,124,222,18
1682,30,34,18
1683,61,228,38
1684,25,1,1
1685,5,10,5
1686,456,182,11
1687,344,82,11
1688,5,20,3
1689,3,1,1
1690,8,8,5
1691,157,87,40
1692,196,72,37
1693,140,54,50
1694,318,88,95
1695,2,27,17
1696,5,1,1
1697,308,31,1
1698,198,31,53
1699,10,23,6
1700,62,54,25
1701,70,44,14
1702,23,3,4
1703,156,4,54
1704,573,42,79
1705,138,7,8
1706,52,3,8
1707,10,6,3
1708,186,34,61
1709,5,1,1
1710,92,2,1
1711,20,9,4
1712,83,26,4
1713,12,50,13
1714,157,48,78
1715,110,15,9
1716,9,10,4
1717,49,65,28
1718,141,27,4
1719,156,74,73
1720,99,21,23
1721,208,120,43
1722,127,39,32
1723,22,12,3
1724,70,198,89
1725,122,14,19
1726,89,11,39
1727,117,1,27
1728,113,23,2
1729,170,77,4
1730,93,46,73
1731,133,61,6
1732,155,4,52
1733,39,146,51
1734,8,16,17
1735,44,121,8
1736,112,13,30
1737,1,1,1
1738,162,44,28
1739,154,3,14
1740,4,3,1
1741,94,37,9
1742,1,1,1
1743,128,32,37
1744,8,9,1
1745,60,7,25
1746,24,25,21
1747,57,143,52
1748,8,44,13
1749,2,4,3
1750,196,146,62
1751,15,4,55
1752,24,55,46
1753,95,12,24
1754,5,1,1
1755,66,5,12
1756,250,163,40
1757,129,25,87
1758,307,140,77
1759,62,18,3
1760,103,17,20
1761,34,4,6
1762,54,15,11
1763,341,108,18
1764,1,107,91
1765,301,90,81
1766,2,1,1
1767,38,12,7
1768,13,7,4
1769,73,6,11
1770,15,5,2
1771,218,43,1
1772,17,12,5
1773,4,1,1
1774,78,60,6
1775,48,4,17
1776,5,3,1
1777,61,38,28
1778,29,10,6
1779,453,16,88
1780,86,59,9
1781,69,32,9
1782,115,64,79
1783,27,14,6
1784,436,49,38
1785,5,13,3
1786,23,68,5
1787,22,16,2
1788,80,5,15
1789,11,7,2
1790,39,41,12
1791,9,1,1
1792,8,6,26
1793,106,64,92
1794,19,98,22
1795,12,14,4
1796,9,10,1
1797,237,97,14
1798,551,211,50
1799,24,1,2
1800,435,44,13
1801,12,2,1
1802,255,108,39
1803,30,19,13
1804,88,146,101
1805,1,1,1
1806,72,33,27
1807,225,113,38
1808,23,6,17
1809,364,1,45
1810,53,48,15
1811,19,33,13
1812,218,21,14
1813,39,32,4
1814,12,15,4
1815,107,55,19
1816,121,22,3
1817,410,64,39
1818,121,82,16
1819,2,1,1
1820,245,46,39
1821,388,125,68
1822,30,32,14
1823,416,101,84
1824,50,11,8
1825,44,11,8
1826,47,36,13
1827,224,60,44
1828,68,6,8
1829,3,1,1
1830,85,18,18
1831,33,89,42
1832,75,142,45
1833,308,60,56
1834,46,26,9
1835,118,38,46
1836,133,21,11
1837,41,13,6
1838,160,95,66
1839,113,16,10
1840,8,17,6
1841,11,88,17
1842,108,14,23
1843,170,130,17
1844,15,54,13
1845,14,7,4
1846,493,40,31
1847,1,1,1
1848,164,21,18
1849,401,103,65
1850,72,22,16
1851,5,2,2
1852,128,7,8
1853,8,10,4
1854,4,14,22
1855,36,3,2
1856,5,8,4
1857,62,20,11
1858,188,70,35
1859,87,48,12
1860,375,48,38
1861,3,8,2
1862,89,22,1
1863,4,9,3
1864,216,11,3
1865,541,207,32
1866,309,5,21
1867,281,94,27
1868,27,8,11
1869,23,22,1
1870,5,1,1
1871,1,26,5
1872,65,13,4
1873,22,10,5
1874,505,147,53
1875,143,131,75
1876,8,12,1
1877,13,6,2
1878,248,117,24
1879,370,116,8
1880,4,1,1
1881,211,4,16
1882,51,6,1
1883,141,4,36
1884,24,20,5
1885,13,83,21
1886,70,51,25
1887,1,3,1
1888,28,114,63
1889,157,55,21
1890,222,59,48
1891,93,36,17
1892,3,1,1
1893,62,9,25
1894,113,82,3
1895,2,4,1
1896,29,7,11
1897,15,20,6
1898,50,13,5
1899,323,225,42
1900,173,31,32
1901,63,19,9
1902,12,1,2
1903,5,2,1
1904,25,9,3
1905,56,2,19
1906,202,134,125
1907,260,37,58
1908,5,1,1
1909,135,5,28
1910,100,56,10
1911,45,51,8
1912,98,42,11
1913,66,9,8
1914,32,2,8
1915,15,111,49
1916,30,85,49
1917,1,1,1
1918,10,124,12
1919,149,23,23
1920,6,42,46
1921,93,44,15
1922,83,21,11
1923,24,2,4
1924,63,14,13
1925,11,9,3
1926,166,59,41
1927,25,2,2
1928,131,82,3
1929,124,133,21
1930,84,14,7
1931,94,182,2
1932,132,30,30
1933,61,25,14
1934,70,26,11
1935,87,29,46
1936,411,32,49
1937,1,1,1
1938,13,37,12
1939,61,66,28
1940,213,32,12
1941,7,3,1
1942,279,5,18
1943,26,7,3
1944,24,51,17
1945,71,18,36
1946,27,29,25
1947,100,11,3
1948,151,10,6
1949,163,8,6
1950,137,23,8
1951,63,13,11
1952,46,156,6
1953,1,1,1
1954,221,43,15
1955,31,52,10
1956,50,12,10
1957,47,23,55
1958,58,13,16
1959,13,3,2
1960,334,116,24
1961,7,5,3
1962,391,68,44
1963,363,22,32
1964,57,18,64
1965,1,1,1
1966,20,18,1
1967,1,1,1
1968,17,3,5
1969,108,121,25
1970,8,1,1
1971,408,105,105
1972,297,53,2
1973,53,2,10
1974,83,54,87
1975,79,5,6
1976,3,6,3
1977,2,1,1
1978,269,55,4
1979,65,5,8
1980,55,20,7
1981,6,174,71
1982,216,35,54
1983,184,66,69
1984,49,154,92
1985,9,154,66
1986,2,1,1
1987,22,5,29
1988,30,11,2
1989,281,141,27
1990,113,70,7
1991,557,222,116
1992,9,6,6
1993,387,4,73
1994,109,91,32
1995,32,5,5
1996,192,68,28
1997,9,50,23
1998,48,22,2
1999,7,143,79
2000,172,23,16
2001,309,107,86
2002,40,17,16
2003,116,44,75
2004,2,15,5
2005,8,2,6
2006,405,99,87
2007,75,36,6
2008,125,26,28
2009,41,72,33
2010,115,63,1
2011,6,6,1
2012,61,67,3
2013,35,1,1
2014,79,64,47
2015,19,63,34
2016,5,2,1
2017,7,173,55
2018,27,8,6
2019,1,2,2
2020,16,1,1
2021,1,1,1
2022,25,9,2
2023,20,12,6
2024,243,101,28
2025,2,6,1
2026,200,23,35
2027,89,11,16
2028,374,47,20
2029,187,69,25
2030,9,13,14
2031,256,23,52
2032,25,1,2
2033,44,18,4
2034,14,10,9
2035,6,5,1
2036,52,45,18
2037,1,1,1
2038,212,169,90
2039,43,26,3
2040,114,14,5
2041,143,33,3
2042,19,3,3
2043,7,10,4
2044,30,28,10
2045,353,99,34
2046,140,131,63
2047,67,59,6
2048,1,7,10
2049,4,2,1
2050,21,2,1
2051,48,4,2
2052,158,28,12
2053,104,45,26
2054,65,114,56
2055,1,40,17
2056,77,65,7
2057,6,1,1
2058,319,162,75
2059,298,164,90
2060,32,10,9
2061,42,5,7
2062,333,57,83
2063,105,29,45
2064,5,2,5
2065,108,1,29
2066,113,53,28
2067,63,9,31
2068,122,213,90
2069,75,41,8
2070,73,29,37
2071,102,3,2
2072,69,7,9
2073,46,40,16
2074,56,216,81
2075,33,40,16
2076,65,45,1
2077,18,8,6
2078,3,1,1
2079,417,180,31
2080,19,4,3
2081,18,18,8
2082,13,55,17
2083,52,102,48
2084,5,2,1
2085,4,7,4
2086,49,14,3
2087,2,53,2
2088,47,17,1
2089,4,23,4
2090,16,22,3
2091,2,2,1
2092,34,21,9
2093,3,9,4
2094,159,41,27
2095,10,3,1
2096,1,15,3
2097,6,4,2
2098,67,22,19
2099,27,15,3
2100,5,2,1
2101,38,43,29
2102,270,68,28
2103,1,1,1
2104,5,4,29
2105,143,35,6
2106,97,190,95
2107,202,52,12
2108,170,30,47
2109,46,18,11
2110,434,202,84
2111,349,168,103
2112,6,3,1
2113,39,8,13
2114,23,19,9
2115,44,7,9
2116,178,71,29
2117,6,6,1
2118,15,64,23
2119,5,1,3
2120,301,79,46
2121,93,38,12
2122,617,116,14
2123,276,20,34
2124,176,129,82
2125,14,30,9
2126,70,31,25
2127,10,32,3
2128,12,10,8
2129,365,95,21
2130,26,8,4
2131,12,12,2
2132,18,2,7
2133,40,137,45
2134,170,3,11
2135,426,100,40
2136,1,1,1
2137,157,7,12
2138,21,56,1
2139,5,89,67
2140,128,93,19
2141,224,101,53
2142,144,6,17
2143,53,16,57
2144,367,122,52
2145,45,9,31
2146,192,3,1
2147,25,7,12
2148,12,4,1
2149,9,3,1
2150,396,180,95
2151,92,9,10
2152,18,24,16
2153,282,6,22
2154,211,28,22
2155,390,2,34
2156,138,45,34
2157,143,79,46
2158,2,5,1
2159,342,77,45
2160,243,83,45
2161,190,51,34
2162,130,63,15
2163,15,5,1
2164,57,19,13
2165,94,69,50
2166,5,6,3
2167,216,32,67
2168,10,22,15
2169,341,122,70
2170,43,20,5
2171,77,10,3
2172,29,2,13
2173,1,1,1
2174,95,51,33
2175,80,17,12
2176,27,11,6
2177,3,8,3
2178,126,4,26
2179,122,53,6
2180,1,1,1
2181,161,2,56
2182,5,13,5
2183,13,11,27
2184,90,4,10
2185,172,48,31
2186,26,10,12
2187,293,117,49
2188,26,3,32
2189,50,2,10
2190,93,34,19
2191,28,12,1
2192,6,5,1
2193,102,36,19
2194,13,4,5
2195,4,15,10
2196,184,4,71
2197,21,40,17
2198,18,18,36
2199,110,69,14
2200,91,154,21
2201,117,32,7
2202,202,75,72
2203,284,75,70
2204,215,217,137
2205,67,17,5
2206,2,1,1
2207,52,37,11
2208,24,2,6
2209,199,26,39
2210,79,65,11
2211,47,21,15
2212,82,133,74
2213,43,10,8
2214,5,3,1
2215,32,12,10
2216,314,16,45
2217,12,6,8
2218,28,5,1
2219,398,14,80
2220,96,13,13
2221,120,9,28
2222,122,52,7
2223,251,70,55
2224,23,15,9
2225,34,8,5
2226,14,95,2
2227,15,7,2
2228,28,87,36
2229,165,45,8
2230,18,6,23
2231,266,142,90
2232,25,9,5
2233,82,21,7
2234,3,1,1
2235,81,25,18
2236,70,8,40
2237,22,5,2
2238,12,16,7
2239,192,41,12
2240,1,5,2
2241,85,17,2
2242,79,36,5
2243,1,1,1
2244,18,24,6
2245,58,31,9
2246,110,19,20
2247,178,71,59
2248,15,7,4
2249,35,3,13
2250,330,55,88
2251,42,90,42
2252,61,40,1
2253,109,57,11
2254,39,7,2
2255,36,14,14
2256,12,2,1
2257,1,1,1
2258,156,2,20
2259,30,5,3
2260,93,27,10
2261,24,10,12
2262,68,128,85
2263,221,124,84
2264,15,4,3
2265,38,15,10
2266,99,52,15
2267,317,66,11
2268,5,34,3
2269,1,2,2
2270,193,60,1
2271,11,24,13
2272,30,31,12
2273,5,7,5
2274,4,2,1
2275,32,22,7
2276,41,3,11
2277,18,26,12
2278,15,1,6
2279,85,19,12
2280,50,81,27
2281,16,1,26
2282,16,4,2
2283,89,117,34
2284,158,74,61
2285,13,12,6
2286,75,68,33
2287,105,32,13
2288,18,13,4
2289,60,55,25
2290,14,1,1
2291,10,1,1
2292,103,95,55
2293,20,2,2
2294,84,13,31
2295,15,92,45
2296,193,153,57
2297,59,23,11
2298,1,1,1
2299,34,5,6
2300,4,3,1
2301,1,1,1
2302,33,41,3
2303,30,130,22
2304,49,52,4
2305,6,195,48
2306,257,142,44
2307,155,8,11
2308,37,10,28
2309,431,36,51
2310,27,16,10
2311,14,26,10
2312,2,5,5
2313,339,72,10
2314,29,68,13
2315,268,26,66
2316,397,68,83
2317,31,24,10
2318,35,15,12
2319,18,40,13
2320,12,14,5
2321,171,44,10
2322,78,54,25
2323,38,18,5
2324,282,137,30
2325,1,1,1
2326,144,119,29
2327,88,46,31
2328,60,24,17
2329,100,80,16
2330,86,31,4
2331,45,6,12
2332,8,4,3
2333,16,29,9
2334,30,27,7
2335,175,97,9
2336,16,6,2
2337,642,199,54
2338,35,3,6
2339,84,16,5
2340,30,5,5
2341,28,7,11
2342,90,50,6
2343,24,15,11
2344,13,4,1
2345,181,10,23
2346,88,28,14
2347,17,67,13
2348,183,113,31
2349,424,15,1
2350,67,48,21
2351,6,5,3
2352,124,100,57
2353,136,69,35
2354,9,8,2
2355,194,167,116
2356,21,21,10
2357,262,209,69
2358,59,52,64
2359,1,1,1
2360,134,123,32
2361,41,97,49
2362,3,4,3
2363,2,1,1
2364,16,3,2
2365,24,7,2
2366,155,66,19
2367,40,75,9
2368,231,74,23
2369,49,13,8
2370,5,32,67
2371,120,2,7
2372,56,10,7
2373,47,4,9
2374,7,28,4
2375,2,1,1
2376,247,11,52
2377,47,20,4
2378,372,200,25
2379,10,11,19
2380,10,97,6
2381,10,33,34
2382,168,44,13
2383,23,12,3
2384,118,22,4
2385,239,86,4
2386,81,71,26
2387,223,2,24
2388,321,65,8
2389,185,135,20
2390,213,73,4
2391,69,55,13
2392,11,6,1
2393,56,26,12
2394,162,19,23
2395,371,30,55
2396,14,3,1
2397,113,7,9
2398,336,83,77
2399,1,1,1
2400,4,2,1
2401,1,1,1
2402,17,42,5
2403,10,32,23
2404,66,22,6
2405,96,159,24
2406,17,5,1
2407,205,101,1
2408,361,26,18
2409,388,85,80
2410,37,61,36
2411,13,12,5
2412,24,12,2
2413,18,6,4
2414,84,27,12
2415,242,36,9
2416,136,29,27
2417,8,34,67
2418,55,32,7
2419,89,44,40
2420,1,1,1
2421,62,21,3
2422,28,9,28
2423,100,12,28
2424,23,23,82
2425,18,44,46
2426,35,95,20
2427,304,89,56
2428,101,3,21
2429,33,12,32
2430,3,6,5
2431,16,40,10
2432,126,29,55
2433,564,1,7
2434,288,165,132
2435,132,149,81
2436,252,101,4
2437,253,67,33
2438,105,68,3
2439,97,62,49
2440,153,48,26
2441,68,86,39
2442,13,41,19
2443,168,6,51
2444,13,25,8
2445,1,1,1
2446,8,5,2
2447,58,2,10
2448,242,14,25
2449,69,13,2
2450,1,1,1
2451,24,97,43
2452,279,20,44
2453,1,8,1
2454,146,151,70
2455,2,6,1
2456,18,39,21
2457,7,5,1
2458,10,2,1
2459,106,48,25
2460,132,106,59
2461,6,7,1
2462,11,1,1
2463,98,97,21
2464,133,16,52
2465,154,6,33
2466,15,29,17
2467,9,42,35
2468,80,124,21
2469,361,149,80
2470,18,15,6
2471,138,7,48
2472,405,109,12
2473,183,40,30
2474,36,20,6
2475,148,17,4
2476,4,2,2
2477,35,3,5
2478,16,10,3
2479,18,71,7
2480,30,34,16
2481,79,38,6
2482,267,53,16
2483,9,85,46
2484,30,61,68
2485,6,16,9
2486,48,16,25
2487,75,7,14
2488,25,85,11
2489,4,27,2
2490,93,41,8
2491,1,1,1
2492,2,2,1
2493,71,77,52
2494,65,21,32
2495,220,123,13
2496,310,107,75
2497,227,55,28
2498,266,76,4
2499,197,122,57
2500,80,2,1
2501,278,51,45
2502,79,63,28
2503,43,2,4
2504,134,91,37
2505,446,133,30
2506,63,29,17
2507,2,1,1
2508,6,3,1
2509,7,5,3
2510,41,3,3
2511,49,2,6
2512,18,1,3
2513,124,23,10
2514,3,3,6
2515,122,9,21
2516,361,77,33
2517,203,25,13
2518,102,80,33
2519,6,33,9
2520,125,84,19
2521,82,58,31
2522,3,26,8
2523,79,68,35
2524,41,20,18
2525,14,3,3
2526,40,71,20
2527,300,38,31
2528,10,14,16
2529,79,16,9
2530,3,1,1
2531,71,54,34
2532,37,10,5
2533,55,10,3
2534,3,1,4
2535,1,1,1
2536,30,54,31
2537,88,130,59
2538,284,59,66
2539,2,1,1
2540,1,1,1
2541,194,10,56
2542,3,1,1
2543,281,173,57
2544,55,35,6
2545,7,29,6
2546,139,64,32
2547,40,87,65
2548,193,112,51
2549,48,5,14
2550,55,15,3
2551,30,5,3
2552,271,160,60
2553,36,4,6
2554,171,7,5
2555,74,1,69
2556,38,15,58
2557,27,3,3
2558,224,85,16
2559,173,13,40
2560,3,5,10
2561,61,1,10
2562,1,3,42
2563,118,70,21
2564,448,167,1
2565,15,15,8
2566,18,22,7
2567,14,6,2
2568,22,15,3
2569,38,8,12
2570,125,12,20
2571,37,4,6
2572,362,63,58
2573,35,68,45
2574,322,6,120
2575,143,11,25
2576,104,18,19
2577,60,10,4
2578,1,1,1
2579,220,3,33
2580,1,1,1
2581,53,3,5
2582,14,8,15
2583,1,1,1
2584,52,35,18
2585,6,2,1
2586,18,4,6
2587,19,27,44
2588,1,1,1
2589,59,2,1
2590,3,2,1
2591,252,48,6
2592,12,23,11
2593,5,2,9
2594,23,36,3
2595,110,31,25
2596,70,105,63
2597,51,17,2
2598,104,6,12
2599,35,19,3
2600,31,21,11
2601,29,4,1
2602,13,8,3
2603,181,74,14
2604,240,29,1
2605,305,87,50
2606,28,30,34
2607,24,196,61
2608,108,107,63
2609,112,20,27
2610,74,48,41
2611,31,10,6
2612,12,21,6
2613,97,49,34
2614,289,5,24
2615,260,23,15
2616,59,8,1
2617,121,36,21
2618,79,24,18
2619,40,12,9
2620,37,19,18
2621,1,1,1
2622,39,13,4
2623,31,7,6
2624,157,78,18
2625,28,9,3
2626,354,64,48
2627,86,98,5
2628,168,73,105
2629,10,5,1
2630,139,50,26
2631,85,48,17
2632,442,190,106
2633,106,45,8
2634,95,15,53
2635,66,24,5
2636,33,3,8
2637,26,30,14
2638,141,84,21
2639,3,1,10
2640,73,42,28
2641,43,22,8
2642,3,1,1
2643,201,37,23
2644,17,1,2
2645,2,2,1
2646,136,47,24
2647,40,49,50
2648,43,27,25
2649,295,81,64
2650,49,17,7
2651,133,74,28
2652,443,206,95
2653,60,7,24
2654,4,1,1
2655,11,1,3
2656,10,90,75
2657,3,5,3
2658,117,8,49
2659,85,7,4
2660,3,2,1
2661,101,73,55
2662,13,22,20
2663,118,18,17
2664,108,36,25
2665,1,1,1
2666,18,5,1
2667,392,153,33
2668,56,11,7
2669,14,9,3
2670,16,5,3
2671,194,41,16
2672,142,175,41
2673,48,8,5
2674,155,54,24
2675,45,45,20
2676,52,57,3
2677,18,7,3
2678,57,31,2
2679,26,102,35
2680,122,50,26
2681,67,24,11
2682,26,20,10
2683,118,55,108
2684,14,167,83
2685,300,105,76
2686,1,1,1
2687,21,3,5
2688,10,5,1
2689,18,5,4
2690,9,10,1
2691,319,165,22
2692,289,97,60
2693,315,6,63
2694,85,15,25
2695,50,15,7
2696,3,1,1
2697,23,34,10
2698,245,105,39
2699,42,32,4
2700,34,14,3
2701,34,91,26
2702,56,23,2
2703,62,14,12
2704,45,5,3
2705,56,17,18
2706,173,63,1
2707,7,14,3
2708,118,4,1
2709,77,29,12
2710,38,25,3
2711,33,22,11
2712,47,5,9
2713,7,1,1
2714,81,41,1
2715,170,82,17
2716,1,1,1
2717,6,5,1
2718,13,2,1
2719,110,10,8
2720,271,86,2
2721,117,23,10
2722,425,19,87
2723,9,3,2
2724,68,55,3
2725,20,36,14
2726,44,12,4
2727,11,10,3
2728,196,93,53
2729,159,22,96
2730,85,23,57
2731,3,1,1
2732,170,29,53
2733,136,25,9
2734,329,4,44
2735,21,8,5
2736,67,82,61
2737,511,112,108
2738,92,12,12
2739,5,5,2
2740,61,14,44
2741,25,17,11
2742,6,2,1
2743,72,28,28
2744,30,69,27
2745,105,115,56
2746,250,69,49
2747,84,22,20
2748,312,94,87
2749,10,4,3
2750,294,46,67
2751,219,182,27
2752,113,25,28
2753,95,10,28
2754,150,40,65
2755,10,2,1
2756,335,17,57
2757,358,43,32
2758,41,19,8
2759,8,5,1
2760,30,15,2
2761,101,26,4
2762,47,40,4
2763,37,23,3
2764,368,107,76
2765,24,10,4
2766,13,6,4
2767,245,104,34
2768,37,38,7
2769,6,3,3
2770,116,25,3
2771,207,75,54
2772,225,18,38
2773,165,9,2
2774,4,4,1
2775,239,34,56
2776,504,6,52
2777,71,26,14
2778,183,16,21
2779,35,3,5
2780,109,61,37
2781,173,38,47
2782,312,132,86
2783,90,50,21
2784,13,16,5
2785,152,116,58
2786,4,1,1
2787,38,45,7
2788,75,35,5
2789,10,12,2
2790,12,5,1
2791,291,44,27
2792,82,23,35
2793,4,31,4
2794,258,73,28
2795,7,3,1
2796,333,116,63
2797,214,70,60
2798,1,43,5
2799,328,21,59
2800,335,12,72
2801,60,5,14
2802,370,28,2
2803,233,111,77
2804,262,9,46
2805,147,6,37
2806,205,64,45
2807,133,167,64
2808,63,9,10
2809,25,77,23
2810,269,61,53
2811,186,177,37
2812,78,38,10
2813,32,23,3
2814,23,21,13
2815,2,7,1
2816,34,10,1
2817,59,19,18
2818,320,38,17
2819,16,10,1
2820,10,17,8
2821,485,20,61
2822,116,43,30
2823,18,19,6
2824,34,42,8
2825,199,45,50
2826,52,56,5
2827,21,4,10
2828,21,9,1
2829,184,62,26
2830,1,1,1
2831,1,1,1
2832,72,40,15
2833,5,11,6
2834,16,7,4
2835,218,90,19
2836,48,27,2
2837,135,52,20
2838,173,40,24
2839,46,16,3
2840,119,200,98
2841,97,25,5
2842,29,3,11
2843,377,26,14
2844,444,180,48
2845,287,25,11
2846,45,9,3
2847,130,45,56
2848,392,140,59
2849,75,5,32
2850,353,139,18
2851,44,2,16
2852,298,94,98
2853,26,14,3
2854,141,31,32
2855,153,44,11
2856,10,5,3
2857,9,6,2
2858,56,10,11
2859,47,75,31
2860,181,59,16
2861,114,76,15
2862,3,17,3
2863,166,84,32
2864,338,116,33
2865,273,62,66
2866,2,1,1
2867,112,1,18
2868,224,5,47
2869,464,143,21
2870,25,49,11
2871,227,95,47
2872,136,16,9
2873,136,80,33
2874,5,92,73
2875,43,57,33
2876,130,21,6
2877,43,106,55
2878,4,8,1
2879,78,5,8
2880,1,16,5
2881,166,52,12
2882,214,135,39
2883,9,1,2
2884,15,5,1
2885,367,78,65
2886,265,163,59
2887,266,94,49
2888,4,15,13
2889,11,135,27
2890,426,87,89
2891,80,51,4
2892,49,38,20
2893,4,1,1
2894,150,72,13
2895,219,11,43
2896,1,1,1
2897,20,20,27
2898,388,44,21
2899,254,4,22
2900,106,10,21
2901,2,2,1
2902,15,22,8
2903,18,6,1
2904,213,61,71
2905,225,96,37
2906,48,15,12
2907,74,27,9
2908,42,7,7
2909,126,90,27
2910,36,53,59
2911,130,10,6
2912,17,3,8
2913,88,8,5
2914,62,27,6
2915,128,49,4
2916,95,40,18
2917,1,1,1
2918,101,38,22
2919,36,40,10
2920,143,9,29
2921,229,34,38
2922,2,1,1
2923,46,13,2
2924,20,5,2
2925,61,14,45
2926,121,15,15
2927,16,8,8
2928,170,82,55
2929,161,4,2
2930,49,38,20
2931,133,42,14
2932,17,1,2
2933,33,26,13
2934,74,5,10
2935,31,13,4
2936,68,44,31
2937,12,7,3
2938,12,40,20
2939,1,1,1
2940,5,10,19
2941,68,38,10
2942,684,173,62
2943,96,28,33
2944,71,5,12
2945,130,53,20
2946,143,79,31
2947,165,165,72
2948,36,23,21
2949,86,21,7
2950,341,97,56
2951,81,61,7
2952,42,17,4
2953,79,14,3
2954,1,1,1
2955,52,60,13
2956,31,5,33
2957,156,3,31
2958,171,38,17
2959,48,6,11
2960,226,109,36
2961,16,130,58
2962,2,1,1
2963,18,3,2
2964,146,64,19
2965,352,219,79
2966,229,52,27
2967,113,11,24
2968,3,1,1
2969,252,118,21
2970,116,15,24
2971,2,5,1
2972,12,3,2
2973,39,103,55
2974,2,1,1
2975,8,7,4
2976,98,49,31
2977,5,21,7
2978,340,120,57
2979,201,100,9
2980,5,7,2
2981,34,121,39
2982,21,10,14
2983,120,159,71
2984,85,17,2
2985,127,36,6
2986,231,8,11
2987,263,106,16
2988,12,76,45
2989,99,32,15
2990,133,41,31
2991,195,134,33
2992,15,67,19
2993,11,36,13
2994,242,98,38
2995,42,17,3
2996,357,116,4
2997,115,65,7
2998,289,78,4
2999,84,34,14
3000,137,57,15
3001,216,108,59
3002,23,11,5
3003,1,8,2
3004,523,88,32
3005,75,101,54
3006,200,147,74
3007,16,14,2
3008,13,1,3
3009,276,144,34
3010,256,138,43
3011,278,11,59
3012,44,18,1
3013,273,22,24
3014,25,10,3
3015,6,102,51
3016,41,29,4
3017,14,12,73
3018,242,44,93
3019,1,1,1
3020,96,34,15
3021,44,35,14
3022,11,8,7
3023,62,7,3
3024,58,103,7
3025,236,34,67
3026,3,3,1
3027,346,214,27
3028,99,61,98
3029,3,4,1
3030,10,45,28
3031,124,22,13
3032,50,13,2
3033,7,3,2
3034,22,9,9
3035,486,145,50
3036,37,28,3
3037,9,67,40
3038,579,79,74
3039,13,16,18
3040,3,4,1
3041,172,125,26
3042,52,41,9
3043,35,29,35
3044,310,76,81
3045,57,12,18
3046,82,66,94
3047,37,14,5
3048,1,8,2
3049,67,24,11
3050,49,99,42
3051,57,3,3
3052,447,69,63
3053,281,53,13
3054,91,5,1
3055,5,30,17
3056,62,26,16
3057,222,72,5
3058,31,7,5
3059,74,72,14
3060,1,1,1
3061,14,223,13
3062,13,7,7
3063,3,2,1
3064,2,1,1
3065,106,41,43
3066,1,1,1
3067,156,113,106
3068,33,21,11
3069,193,89,16
3070,53,17,3
3071,6,35,19
3072,22,39,2
3073,115,39,2
3074,46,17,1
3075,2,1,1
3076,143,188,68
3077,226,135,9
3078,240,8,25
3079,64,41,8
3080,1,1,1
3081,39,40,14
3082,98,87,13
3083,4,1,1
3084,90,18,1
3085,98,50,27
3086,312,111,8
3087,9,12,11
3088,14,3,3
3089,57,125,27
3090,23,98,28
3091,67,30,20
3092,59,12,26
3093,47,46,38
3094,99,9,21
3095,106,83,29
3096,54,36,2
3097,112,115,48
3098,79,131,52
3099,94,57,2
3100,110,3,6
3101,521,109,69
3102,42,108,76
3103,100,58,1
3104,3,3,1
3105,98,21,52
3106,49,62,34
3107,41,234,59
3108,184,13,5
3109,11,71,11
3110,69,59,22
3111,380,62,36
3112,7,17,6
3113,15,1,2
3114,358,201,11
3115,50,13,6
3116,35,193,74
3117,52,39,19
3118,74,28,22
3119,410,185,66
3120,16,6,6
3121,52,3,3
3122,356,81,15
3123,100,52,12
3124,121,96,31
3125,22,7,2
3126,146,83,1
3127,38,2,40
3128,22,17,3
3129,18,10,5
3130,48,38,9
3131,19,208,102
3132,19,1,7
3133,25,19,12
3134,455,141,5
3135,7,3,2
3136,65,21,18
3137,328,246,6
3138,1,1,1
3139,37,15,2
3140,17,5,3
3141,302,20,33
3142,102,48,3
3143,54,41,17
3144,68,39,8
3145,85,11,19
3146,275,114,37
3147,3,1,1
3148,61,10,15
3149,32,26,7
3150,4,2,1
3151,73,35,24
3152,49,2,16
3153,143,36,40
3154,12,1,14
3155,104,12,21
3156,203,113,47
3157,32,29,21
3158,230,110,2
3159,9,8,1
3160,326,134,33
3161,21,27,4
3162,13,1,1
3163,128,35,39
3164,28,36,13
3165,18,8,1
3166,221,52,11
3167,27,18,16
3168,12,1,2
3169,300,255,107
3170,203,18,24
3171,53,24,17
3172,172,131,10
3173,165,10,32
3174,42,7,28
3175,39,19,4
3176,8,11,31
3177,2,5,1
3178,153,104,55
3179,150,77,54
3180,263,21,24
3181,230,59,56
3182,303,23,43
3183,37,29,12
3184,34,14,5
3185,42,43,21
3186,83,30,9
3187,44,11,8
3188,500,30,62
3189,42,32,11
3190,44,11,7
3191,23,75,11
3192,85,4,7
3193,174,7,18
3194,11,1,2
3195,17,33,16
3196,30,16,5
3197,116,51,42
3198,28,1,3
3199,220,48,37
3200,110,33,52
3201,316,154,55
3202,29,1,5
3203,144,53,1
3204,29,19,6
3205,1,1,1
3206,262,33,32
3207,13,5,3
3208,450,132,76
3209,365,180,123
3210,146,37,3
3211,35,16,7
